Depth,CALI,DT,GR,NPHI,DENPHI,RS,RT,SP
10242.0000,8.3599,93.4377,48.3412,21.1588,27.1395,18.9017,5.5372,0.1954
10242.5000,8.3653,93.6157,46.1101,18.3241,29.3706,23.0178,8.0111,0.1942
10243.0000,8.3707,93.4977,46.3791,16.0885,31.9858,25.4533,10.9109,0.1933
10243.5000,8.3821,93.1824,48.1879,14.3877,34.8612,26.7683,14.3044,0.1924
10244.0000,8.3975,93.0635,50.8509,14.5908,35.6928,28.0833,19.6331,0.1904
10244.5000,8.4130,93.7301,53.2715,14.7939,34.7647,28.9999,27.0671,0.1878
10245.0000,8.4226,94.3967,52.4452,14.5212,33.8365,29.8169,29.3458,0.1876
10245.5000,8.4283,95.0633,51.6189,14.0798,34.7027,29.7188,29.9441,0.1874
10246.0000,8.4340,95.8154,50.4082,13.8613,35.5689,29.0107,29.4223,0.1874
10246.5000,8.4397,96.9096,51.8919,13.8697,36.0343,29.0765,28.9006,0.1877
10247.0000,8.4387,97.5075,54.0493,14.2186,36.4996,29.1423,30.0187,0.1878
10247.5000,8.4359,97.3610,58.6730,14.6484,36.9650,29.3495,30.2566,0.1871
10248.0000,8.4331,97.2145,62.1485,15.0783,37.1079,30.1217,29.6342,0.1864
10248.5000,8.4304,97.0679,62.8705,15.6503,36.7673,30.8939,30.9838,0.1860
10249.0000,8.4276,96.9214,61.7706,16.3170,36.4266,32.8037,29.7515,0.1859
10249.5000,8.4253,96.7749,58.1187,16.4681,36.7736,34.9978,29.1676,0.1857
10250.0000,8.4247,97.1735,54.2339,15.8456,37.1207,31.6949,29.1762,0.1856
10250.5000,8.4240,97.5721,52.5632,15.2231,37.3534,25.6493,29.4600,0.1856
10251.0000,8.4234,97.9707,51.9841,15.6917,37.1284,20.9863,29.9272,0.1856
10251.5000,8.4228,98.3694,51.4050,16.2628,36.9033,22.2145,27.0507,0.1861
10252.0000,8.4282,98.4630,52.8020,16.5651,36.6783,23.5281,23.3381,0.1884
10252.5000,8.4351,98.3532,54.1990,17.4578,36.7405,25.1829,20.8478,0.1892
10253.0000,8.4421,98.2435,54.1542,17.4310,36.8745,26.2106,18.6630,0.1889
10253.5000,8.4490,98.1337,53.7489,17.1742,37.0085,24.7299,16.3981,0.1889
10254.0000,8.4559,98.0240,54.1424,16.9174,37.9443,22.4127,13.8126,0.1892
10254.5000,8.4505,97.9142,54.5359,16.5454,37.5552,19.5377,11.2271,0.1897
10255.0000,8.4452,98.0079,54.9294,16.0006,37.1662,14.9835,9.9333,0.1903
10255.5000,8.4398,98.1016,53.6471,16.4784,36.6962,8.7694,8.9624,0.1909
10256.0000,8.4345,98.1953,52.5800,18.8508,36.2262,5.9926,6.3102,0.1916
10256.5000,8.4292,97.6818,54.0492,21.7641,32.9491,4.7425,4.2735,0.1923
10257.0000,8.4238,96.7635,56.5374,24.2452,30.3571,4.5102,3.1601,0.1949
